Time,TemperatureF
0,73.06
2,73.06
4,73.06
6,73.06
8,73.06
10,73.06
12,73.18
14,73.18
16,73.18
18,73.18
20,73.18
22,73.18
24,73.18
26,73.18
28,73.29
30,73.29
32,73.29
34,73.29
36,73.29
38,73.29
40,73.29
42,73.29
44,73.29
46,73.40
48,73.29
50,73.40
52,73.40
54,73.40
56,73.40
58,73.40
60,73.40
62,73.40
64,73.40
66,73.51
68,73.51
70,73.51
72,73.51
74,73.51
76,73.51
78,73.51
80,73.51
82,73.51
84,73.62
86,73.62
88,73.62
90,73.62
92,73.62
94,73.62
96,73.62
98,73.62
100,73.62
102,73.62
104,73.74
106,73.74
108,73.74
110,73.74
112,73.74
114,73.74
116,73.74
118,73.74
120,73.74
122,73.74
124,73.74
126,73.85
128,73.85
130,73.85
132,73.85
134,73.85
136,73.85
138,73.85
140,73.85
142,73.85
144,73.85
146,73.85
148,73.96
150,73.96
152,73.96
154,73.96
156,73.96
158,73.96
160,73.96
162,73.96
164,73.96
166,73.96
168,73.96
170,73.96
172,74.07
174,74.07
176,74.07
178,74.07
180,74.07
182,74.07
184,74.07
186,74.07
188,74.07
190,74.07
192,74.07
194,74.07
196,74.07
198,74.07
200,74.19
202,74.19
204,74.07
206,74.19
208,74.19
210,74.19
212,74.19
214,74.19
216,74.19
218,74.19
220,74.19
222,74.19
224,74.19
226,74.19
228,74.19
230,74.19
232,74.19
234,74.19
236,74.19
238,74.19
240,74.19
242,74.19
244,74.19
246,74.19
248,74.19
250,74.30
252,74.19
254,74.30
256,74.19
258,74.19
260,74.30
262,74.19
264,74.30
266,74.30
268,74.30
270,74.30
272,74.19
274,74.19
276,74.19
278,74.30
280,74.30
282,74.30
284,74.30
286,74.30
288,74.30
290,74.30
292,74.30
294,74.30
296,74.30
298,74.30
300,74.30
302,74.30
304,74.30
306,74.41
308,74.41
310,74.41
312,74.30
314,74.30
316,74.19
318,74.07
320,73.96
322,73.85
324,73.74
326,73.74
328,73.62
330,73.51
332,73.51
334,73.40
336,73.29
338,73.29
340,73.29
342,73.18
344,73.18
346,72.95
348,72.84
350,72.61
352,72.39
354,72.16
356,72.16
358,72.16
360,72.05
362,71.82
364,71.71
366,71.71
368,71.49
370,71.49
372,71.15
374,70.70
376,70.59
378,70.36
380,70.25
382,70.25
384,70.25
386,70.25
388,70.14
390,69.91
392,69.46
394,69.35
396,69.24
398,69.35
400,69.35
402,69.35
404,69.35
406,69.46
408,69.35
410,69.12
412,69.12
414,69.01
416,68.90
418,69.01
420,68.90
422,68.68
424,68.56
426,68.45
428,68.56
430,68.56
432,68.68
434,68.79
436,68.90
438,69.01
440,69.12
442,69.12
444,69.24
446,69.24
448,69.35
450,69.46
452,69.46
454,69.57
456,69.57
458,69.69
460,69.80
462,70.02
464,70.02
466,70.02
468,70.14
470,70.14
472,70.25
474,70.36
476,70.47
478,70.36
480,70.36
482,70.47
484,70.59
486,70.59
488,70.59
490,70.70
492,70.81
494,70.81
496,70.59
498,70.59
500,70.59
502,70.59
504,70.59
506,70.70
508,70.59
510,70.70
512,70.81
514,70.81
516,70.81
518,70.93
520,70.81
522,70.93
524,70.93
526,71.04
528,70.93
530,70.93
532,70.81
534,70.81
536,70.59
538,70.59
540,70.70
542,70.70
544,70.81
546,70.93
548,70.93
550,71.04
552,71.04
554,71.04
556,71.04
558,70.93
560,70.81
562,70.70
564,70.59
566,70.47
568,70.47
570,70.59
572,70.59
574,70.59
576,70.47
578,70.47
580,70.36
582,70.36
584,70.36
586,70.14
588,70.25
590,70.14
592,70.14
594,70.14
596,70.02
598,70.14
600,70.02
602,70.02
604,70.02
606,70.02
608,70.02
610,70.02
612,70.02
614,70.02
616,70.02
618,70.14
620,70.25
622,70.36
624,70.47
626,70.59
628,70.59
630,70.81
632,70.93
634,70.93
636,71.04
638,71.15
640,71.26
642,71.26
644,71.37
646,71.49
648,71.49
650,71.60
652,71.60
654,71.71
656,71.71
658,71.82
660,71.82
662,71.82
664,71.94
666,71.94
668,72.05
670,72.05
672,72.05
674,72.16
676,72.16
678,72.27
680,72.27
682,72.27
684,72.39
686,72.39
688,72.39
690,72.39
692,72.50
694,72.50
696,72.61
698,72.61
700,72.61
702,72.72
704,72.72
706,72.72
708,72.72
710,72.72
712,72.84
714,72.84
716,72.84
718,72.95
720,72.95
722,72.95
724,72.95
726,72.95
728,72.95
730,72.95
732,72.95
734,73.06
736,73.06
738,73.06
740,73.06
742,73.06
744,73.06
746,73.06
748,73.18
750,73.18
752,73.18
754,73.18
756,73.18
758,73.18
760,73.18
762,73.18
764,73.29
766,73.29
768,73.29
770,73.29
772,73.29
774,73.29
776,73.29
778,73.29
780,73.29
782,73.29
784,73.40
786,73.40
788,73.40
790,73.40
792,73.40
794,73.40
796,73.51
798,73.51
800,73.51
802,73.51
804,73.51
806,73.51
808,73.51
810,73.62
812,73.62
814,73.62
816,73.62
818,73.62
820,73.62
822,73.62
824,73.62
826,73.62
828,73.62
830,73.74
832,73.74
834,73.74
836,73.74
838,73.74
840,73.74
842,73.62
844,73.51
846,73.40
848,73.29
850,73.06
852,72.84
854,72.84
856,72.61
858,72.50
860,72.39
862,72.27
864,72.27
866,72.16
868,72.16
870,72.05
872,72.05
874,72.05
876,72.05
878,71.94
880,72.05
882,72.05
884,72.05
886,72.05
888,72.05
890,72.05
892,72.05
894,72.05
896,72.16
898,72.16
900,72.16
902,72.16
904,72.16
906,72.16
908,72.16
910,72.16
912,72.16
914,72.16
916,72.16
918,72.16
920,72.16
922,72.16
924,72.16
926,72.27
928,72.27
930,72.27
932,72.27
934,72.27
936,72.27
938,72.27
940,72.27
942,72.39
944,72.39
946,72.39
948,72.39
950,72.39
952,72.39
954,72.39
956,72.27
958,72.27
960,72.39
962,72.27
964,72.27
966,72.39
968,72.39
970,72.39
972,72.39
974,72.39
976,72.39
978,72.39
980,72.50
