Time,TemperatureF
982,72.50
984,72.50
986,72.50
988,72.50
990,72.50
992,72.50
994,72.61
996,72.61
998,72.61
1000,72.61
1002,72.61
1004,72.61
1006,72.61
1008,72.61
1010,72.72
1012,72.72
1014,72.72
1016,72.72
1018,72.72
1020,72.72
1022,72.72
1024,72.72
1026,72.72
1028,72.84
1030,72.72
1032,72.84
1034,72.84
1036,72.84
1038,72.84
1040,72.84
1042,72.84
1044,72.84
1046,72.84
1048,72.84
1050,72.84
1052,72.84
1054,72.84
1056,72.72
1058,72.61
1060,72.50
1062,72.50
1064,72.50
1066,72.50
1068,72.50
1070,72.50
1072,72.50
1074,72.50
1076,72.61
1078,72.61
1080,72.61
1082,72.61
1084,72.61
1086,72.72
1088,72.61
1090,72.39
1092,72.39
1094,72.39
1096,72.39
1098,72.27
1100,72.27
1102,72.27
1104,72.27
1106,72.27
1108,72.27
1110,72.27
1112,72.27
1114,72.39
1116,72.39
1118,72.39
1120,72.50
1122,72.50
1124,72.61
1126,72.61
1128,72.61
1130,72.61
1132,72.72
1134,72.72
1136,72.72
1138,72.72
1140,72.61
1142,72.39
1144,71.94
1146,71.71
1148,71.37
1150,71.04
1152,70.70
1154,70.25
1156,70.02
1158,69.57
1160,69.24
1162,68.90
1164,68.45
1166,68.11
1168,67.77
1170,67.32
1172,66.99
1174,66.65
1176,66.31
1178,65.97
1180,65.64
1182,65.30
1184,64.96
1186,64.62
1188,64.40
1190,64.06
1192,63.84
1194,63.50
1196,63.28
1198,62.94
1200,62.71
1202,62.49
1204,62.15
1206,61.93
1208,61.70
1210,61.47
1212,61.25
1214,61.03
1216,60.80
1218,60.58
1220,60.35
1222,60.13
1224,59.90
1226,59.68
1228,59.45
1230,59.22
1232,59.11
1234,58.89
1236,58.66
1238,58.78
1240,58.78
1242,59.11
1244,59.45
1246,59.79
1248,60.01
1250,60.24
1252,60.46
1254,60.69
1256,60.91
1258,61.14
1260,61.36
1262,61.47
1264,61.70
1266,61.93
1268,62.15
1270,62.26
1272,62.49
1274,62.60
1276,62.71
1278,63.05
1280,63.16
1282,63.28
1284,63.61
1286,63.95
1288,64.18
1290,64.40
1292,64.62
1294,64.85
1296,64.96
1298,65.07
1300,65.19
1302,65.30
1304,65.52
1306,65.52
1308,65.75
1310,65.86
1312,66.09
1314,66.31
1316,66.43
1318,66.65
1320,66.87
1322,66.99
1324,67.21
1326,67.21
1328,67.44
1330,67.55
1332,67.66
1334,67.77
1336,67.77
1338,67.89
1340,67.89
1342,67.89
1344,68.00
1346,68.00
1348,68.00
1350,67.89
1352,67.89
1354,67.89
1356,67.89
1358,67.89
1360,67.89
1362,67.89
1364,67.89
1366,67.89
1368,67.89
1370,67.89
1372,67.89
1374,67.89
1376,67.89
1378,67.89
1380,67.89
1382,67.89
1384,67.89
1386,67.89
1388,68.00
1390,68.00
1392,68.00
1394,68.00
1396,68.11
1398,68.00
1400,68.11
1402,68.11
1404,68.11
1406,68.22
1408,68.22
1410,68.34
1412,68.34
1414,68.45
1416,68.56
1418,68.68
1420,68.79
1422,68.90
1424,69.01
1426,69.12
1428,69.24
1430,69.35
1432,69.35
1434,69.46
1436,69.46
1438,69.46
1440,69.46
1442,69.46
1444,69.46
1446,69.46
1448,69.46
1450,69.46
1452,69.57
1454,69.46
1456,69.46
1458,69.46
1460,69.46
1462,69.46
1464,69.46
1466,69.46
1468,69.46
1470,69.46
1472,69.35
1474,69.24
1476,69.24
1478,69.24
1480,69.24
1482,69.24
1484,69.24
1486,69.24
1488,69.24
1490,69.24
1492,69.35
1494,69.35
1496,69.35
1498,69.35
1500,69.35
1502,69.24
1504,69.24
1506,69.24
1508,69.35
1510,69.35
1512,69.35
1514,69.35
1516,69.35
1518,69.35
1520,69.46
1522,69.46
1524,69.46
1526,69.46
1528,69.46
1530,69.46
1532,69.46
1534,69.46
1536,69.57
1538,69.57
1540,69.57
1542,69.57
1544,69.69
1546,69.69
1548,69.69
1550,69.69
1552,69.69
1554,69.80
1556,69.80
1558,69.80
1560,69.91
1562,70.02
1564,70.14
1566,70.25
1568,70.36
1570,70.47
1572,70.59
1574,70.81
1576,70.93
1578,71.04
1580,71.15
1582,71.15
1584,71.26
1586,71.37
1588,71.37
1590,71.49
1592,71.49
1594,71.60
1596,71.60
1598,71.71
1600,71.71
1602,71.82
1604,71.82
1606,71.94
1608,71.94
1610,72.05
1612,72.05
1614,72.16
1616,72.16
1618,72.16
1620,72.16
1622,72.16
1624,72.16
1626,72.05
1628,72.05
1630,71.94
1632,71.82
1634,71.82
1636,71.71
1638,71.71
1640,71.60
1642,71.60
1644,71.49
1646,71.49
1648,71.49
1650,71.37
1652,71.26
1654,71.15
1656,71.15
1658,71.04
1660,70.93
1662,70.93
1664,70.81
1666,70.70
1668,70.59
1670,70.59
1672,70.47
1674,70.47
1676,70.47
1678,70.47
1680,70.47
1682,70.47
1684,70.59
1686,70.70
1688,70.70
1690,70.81
1692,70.81
1694,70.93
1696,71.04
1698,71.04
1700,71.15
1702,71.15
1704,71.26
1706,71.26
1708,71.37
1710,71.37
1712,71.49
1714,71.49
1716,71.49
1718,71.60
1720,71.71
1722,71.71
1724,71.82
1726,71.82
1728,71.94
1730,71.94
1732,72.05
1734,72.05
1736,72.05
1738,72.16
1740,72.16
1742,72.16
1744,72.27
1746,72.27
1748,72.39
1750,72.39
1752,72.39
1754,72.39
1756,72.50
1758,72.50
1760,72.50
1762,72.50
1764,72.61
1766,72.61
1768,72.61
1770,72.72
